time,NasalFlow_cmH2O,SpO2_pct,Activity_gps,PosAngle_deg,AudioVolume_dB,cRIP_Flow
3450.3,-0.008016779874213837,91.808911,0.077673,75.672039,74.207128,2.4905660377358487e-06
3466.2,-0.0012762893081761,92.928307,0.098121,75.580482,74.176609,1.1194968553459121e-06
3482.1,0.01069594968553459,91.829416,0.060583,75.672039,81.83687,-1.9245283018867927e-06
3498.0,-0.0026472075471698103,91.853001,0.086219,75.733077,77.014873,1.1006289308176102e-06
3513.9,-0.009926308176100629,91.865428,0.060278,75.611001,76.587608,2.7924528301886793e-06
3529.8,0.013856767295597483,92.07155,0.07218,75.611001,78.235632,-2.729559748427673e-06
3545.7,-0.018255314465408807,91.879134,0.085303,75.672039,78.815492,4.113207547169812e-06
3561.6,0.01735104402515723,91.866511,0.062414,75.611001,75.763596,-2.7484276729559748e-06
3577.5,-0.021008301886792455,92.846983,0.071875,75.64152,75.855153,4.79874213836478e-06
3593.4,0.012098666666666667,91.89622,0.06455,75.611001,79.731061,-1.691823899371069e-06
3609.3,0.009225880503144653,91.869775,0.087439,75.672039,79.975213,-1.779874213836478e-06
3625.2,-0.012539723270440251,92.973286,0.059057,75.580482,79.364834,3.1572327044025152e-06
3641.1,0.006202911949685534,91.808911,0.075842,75.611001,75.275292,-7.987421383647801e-07
3657.0,-0.007613408805031446,91.764832,0.069128,75.580482,83.668008,1.9937106918238996e-06
3672.9,0.0005010754716981135,91.843065,0.066687,75.763596,74.786989,3.333333333333337e-07
3688.8,0.014074981132075472,91.691356,0.07157,75.702558,68.896828,-1.4842767295597483e-06
3704.7,0.00046932704402515653,92.163394,0.067297,75.64152,68.561119,1.3207547169811353e-07
3720.6,-0.0010630943396226398,92.840521,0.078894,75.672039,68.805271,1.0377358490566038e-06
3736.5,0.0003770000000000002,92.837035,0.078894,75.611001,73.169483,6.352201257861635e-07
3752.4,-0.011422540880503141,91.846186,0.102394,75.977228,73.108446,1.8616352201257865e-06
3768.3,0.007397402515723271,91.837805,0.062719,76.099304,74.481799,2.515723270440253e-08
3784.2,-0.011115182389937106,92.875945,0.067297,75.977228,73.87142,2.39622641509434e-06
3800.1,0.0034804402515723268,91.869316,0.059362,76.099304,74.085052,-1.6352201257861627e-07
3816.0,0.0020377987421383655,91.807466,0.062719,75.977228,67.981259,-3.5849056603773586e-07
3831.9,0.00373417610062893,91.906925,0.516231,77.533696,82.599844,-4.0754716981132075e-06
3847.8,0.008263333333333329,91.846021,0.071875,77.197987,64.746249,3.4528301886792455e-06
3863.7,-0.01055411320754717,91.894976,0.067297,76.770722,64.166388,2.2075471698113207e-06
3879.6,0.008940352201257861,92.876679,0.078894,76.618127,68.591638,-4.528301886792452e-07
3895.5,-0.0018610754716981135,92.002267,0.071875,76.557089,63.983274,1.0251572327044026e-06
3911.4,-0.020225358490566038,93.000074,0.062109,76.465532,63.769642,2.616352201257862e-06
3927.3,0.029802672955974843,91.840825,0.082556,76.648646,68.072816,-3.295597484276729e-06
3943.2,-0.02895330817610063,92.93973,0.056005,76.52657,66.455311,4.849056603773585e-06
3959.1,0.010154226415094341,91.855676,1.942077,76.465532,68.500081,2.3345911949685534e-05
3975.0,0.001577754716981131,91.790997,1.38297,-61.358124,91.908129,-4.1031446540880506e-05
3990.9,0.00025107547169811066,91.879204,1.057332,-67.248285,84.583577,7.71069182389937e-06
4006.8,-0.0249814465408805,92.131286,0.37035,-80.310403,84.186831,1.0943396226415095e-05
4022.7,-0.002021327044025157,93.812936,0.078894,-80.432479,69.72084,8.301886792452828e-07
